name	animal_id	zt_time	sex	sex_name	diet_num	diet_group	week_name	week_num	group	diet	total_reads	SeqDepth
10x3x0	10	0	M	Male	2	MHF	Week 13	1	chf	hf	154747	154747
10x3x12	10	12	M	Male	2	MHF	Week 13	1	chf	hf	113442	113440
10x3x16	10	16	M	Male	2	MHF	Week 13	1	chf	hf	197792	197792
10x3x20	10	20	M	Male	2	MHF	Week 13	1	chf	hf	154496	154496
10x3x4	10	4	M	Male	2	MHF	Week 13	1	chf	hf	135371	135371
10x3x8	10	8	M	Male	2	MHF	Week 13	1	chf	hf	123312	123312
11x3x0	11	0	F	Female	2	MHF	Week 13	1	chf	hf	127329	127329
11x3x12	11	12	F	Female	2	MHF	Week 13	1	chf	hf	125352	125352
11x3x16	11	16	F	Female	2	MHF	Week 13	1	chf	hf	180688	180688
11x3x20	11	20	F	Female	2	MHF	Week 13	1	chf	hf	193274	193274
11x3x4	11	4	F	Female	2	MHF	Week 13	1	chf	hf	123392	123392
11x3x8	11	8	F	Female	2	MHF	Week 13	1	chf	hf	130480	130480
12x3x0	12	0	M	Male	2	MHF	Week 13	1	chf	hf	182477	182477
12x3x12	12	12	M	Male	2	MHF	Week 13	1	chf	hf	166233	166233
12x3x16	12	16	M	Male	2	MHF	Week 13	1	chf	hf	145938	145938
12x3x20	12	20	M	Male	2	MHF	Week 13	1	chf	hf	202490	202490
12x3x4	12	4	M	Male	2	MHF	Week 13	1	chf	hf	98779	98779
12x3x8	12	8	M	Male	2	MHF	Week 13	1	chf	hf	129887	129881
14x3x0	14	0	M	Male	2	MHF	Week 13	1	chf	hf	121072	121072
14x3x12	14	12	M	Male	2	MHF	Week 13	1	chf	hf	133564	133564
14x3x16	14	16	M	Male	2	MHF	Week 13	1	chf	hf	127315	127315
14x3x20	14	20	M	Male	2	MHF	Week 13	1	chf	hf	162219	162219
14x3x4	14	4	M	Male	2	MHF	Week 13	1	chf	hf	186876	186876
14x3x8	14	8	M	Male	2	MHF	Week 13	1	chf	hf	143213	143213
16x3x0	16	0	M	Male	2	MHF	Week 13	1	chf	hf	174019	174019
16x3x12	16	12	M	Male	2	MHF	Week 13	1	chf	hf	183546	183546
16x3x16	16	16	M	Male	2	MHF	Week 13	1	chf	hf	116336	116336
16x3x20	16	20	M	Male	2	MHF	Week 13	1	chf	hf	168226	168226
16x3x8	16	8	M	Male	2	MHF	Week 13	1	chf	hf	177222	177222
17x3x0	17	0	M	Male	3	LHF	Week 13	1	elf	lf_hf	72328	72328
17x3x12	17	12	M	Male	3	LHF	Week 13	1	elf	lf_hf	158260	158260
17x3x16	17	16	M	Male	3	LHF	Week 13	1	elf	lf_hf	138726	138726
17x3x20	17	20	M	Male	3	LHF	Week 13	1	elf	lf_hf	122522	122522
